FIELD1,S_AREA,S_IRRIGATION,S_LAND_ID,S_LAND_TYPE,S_MOISTURE,S_SOIL_TYPE,S_TEMPERATURE,S_TREE_CROP_NAME,S_TREE_CROP_TYPE,S_UNIT,S_USERID,_id
37,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
38,2,Yes,9886654444_L2,Agriculture,0,Red Soil,0.0,Banana Tree,Tree,Acre,Shweta123,5c1091de415c0b3288840c75
39,2,Yes,9886654444_L2,Agriculture,0,Red Soil,0.0,Lemon Tree,Tree,Acre,Shweta123,5c1091de415c0b3288840c75
40,22,Yes,9886654444_L3,Forest-Land,0,Laterite Soil,0.0,Banana Tree,Tree,Guntha,Shweta123,5c109391415c0b3288840c76
41,22,Yes,9886654444_L3,Forest-Land,0,Laterite Soil,0.0,Lemon Tree,Tree,Guntha,Shweta123,5c109391415c0b3288840c76
42,3,Yes,9886654444_L4,Agriculture,0,Saline and Alkaline Soil,0.0,Banana Tree,Tree,Acre,Shweta123,5c109d66f435882d144a01a4
43,3,Yes,9886654444_L4,Agriculture,0,Saline and Alkaline Soil,0.0,Lemon Tree,Tree,Acre,Shweta123,5c109d66f435882d144a01a4
44,5,Yes,9886654444_L5,Agriculture,0,Peaty and other Organic Soil,0.0,Banana Tree,Tree,Acre,Shweta123,5c109dcee1bb8c17d0258444
45,5,Yes,9886654444_L5,Agriculture,0,Peaty and other Organic Soil,0.0,Lemon Tree,Tree,Acre,Shweta123,5c109dcee1bb8c17d0258444
46,20,Yes,9886654444_L6,Forest-Land,0,Acid and Desert Soil,0.0,Banana Tree,Tree,Guntha,Shweta123,5c109e7c3165a1256c66e77e
47,20,Yes,9886654444_L6,Forest-Land,0,Acid and Desert Soil,0.0,Lemon Tree,Tree,Guntha,Shweta123,5c109e7c3165a1256c66e77e
48,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Palm Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
49,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Lemon Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
50,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
51,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Wheat,Crop,Acre,Sanket@123,5c17514fd1d7b41de4025635
52,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Mango Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
53,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
54,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
55,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
56,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
57,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
58,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
59,21,Yes,8956321458_L1,Agriculture,62,Red Soil,29.63,Orange Tree,Tree,Acre,Sanket@123,5c17514fd1d7b41de4025635
60,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Palm Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
61,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Lemon Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
62,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
63,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Wheat,Crop,Guntha,Sanket@123,5c175173d1d7b41de4025636
64,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Mango Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
65,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
66,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
67,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
68,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
69,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
70,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
71,24,Yes,8956321458_L2,Forest-Land,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,Guntha,Sanket@123,5c175173d1d7b41de4025636
72,3,Yes,9886654444_L1,Agriculture,0,Black Soil,0.0,Banana Tree,Tree,Acre,Shweta123,5c1c80df44a41a03f8191d74
73,3,Yes,9886654444_L1,Agriculture,0,Black Soil,0.0,Lemon Tree,Tree,Acre,Shweta123,5c1c80df44a41a03f8191d74
